question,answer
What is your refund policy?,We offer refunds within 30 days of purchase.
How do I reset my password?,Click on Forgot Password and follow the instructions.
What payment methods do you accept?,We accept credit cards debit cards and bank transfers.
How can I track my order?,You can track your order using the tracking link sent to your email.
What is your delivery time?,Standard delivery takes 3 to 5 business days.
How do I contact customer support?,Email support@example.com or call our helpline.
Can I cancel my order?,Orders can be cancelled within 24 hours of placement.
Do you offer international shipping?,Yes we ship to most countries worldwide.
How do I create an account?,Click Sign Up and fill in your details.
What if I receive a damaged product?,Contact support within 48 hours for a replacement.
